	VAN_ID	METHOD	CLIENT_COST	OPERATOR_COST
0	57	CORNER	3.3116999999999996	124.8641
1	24	CORNER	5.762599999999999	231.4257
2	45	CORNER	5.9471	238.4536
3	42	CORNER	6.989599999999999	273.9615
4	34	CORNER	4.6899	212.714
5	40	CORNER	6.746800000000001	230.4947
6	50	CORNER	4.3944	161.51900000000003
7	62	CORNER	6.0882	228.05499999999998
8	52	CORNER	5.5591	244.0505
9	32	CORNER	6.9409	231.4165
10	29	CORNER	7.2928999999999995	207.71
11	53	CORNER	5.3537	235.30219999999997
12	33	CORNER	6.432200000000001	245.5285
13	60	CORNER	4.850999999999999	220.48250000000002
14	48	CORNER	5.7258000000000004	228.5931
15	30	CORNER	7.018599999999999	265.1575
16	47	CORNER	6.6127	256.3974
17	54	CORNER	6.4102	255.20799999999997
18	61	CORNER	5.979900000000001	233.8998
19	51	CORNER	7.110499999999999	243.05249999999998
20	23	CORNER	5.9541	223.0097
21	25	CORNER	6.5115	247.35899999999998
22	58	CORNER	7.510499999999999	261.4724
23	36	CORNER	6.4464	235.9572
24	28	CORNER	6.6552	244.6711
25	44	CORNER	5.6343	239.8406
26	35	CORNER	6.725	247.02429999999998
27	31	CORNER	5.4681	220.7491
28	59	CORNER	5.713500000000001	232.2042
29	43	CORNER	5.5642	237.76290000000003
30	46	CORNER	5.9375	253.97910000000002
31	27	CORNER	7.085	229.7598
32	26	CORNER	4.6603	211.4523
33	55	CORNER	7.6918999999999995	260.5616
34	56	CORNER	6.558599999999999	252.6803
35	38	CORNER	6.581799999999999	257.3105
36	49	CORNER	6.413100000000001	257.5254
