Id,Last Update,Request,Ride Id,Rider Id,Rider Status,# pax,Origin Lat,Origin Lng,Origin Address,Destination Lat,Destination Lng,Destination Address,Err Statement,City
787171,10/23/2019 21:13:42,1571875999.28,,52760,,1,-16.713985407,-49.2394137383,|Residencial Gloria Maison - Avenida Sao Joao - Alto da Gloria, Goiania - GO|,-16.703364349,-49.2346266657,|Rua 71 - Jardim Goias, Goiania - GO|,,GYN
787170,10/23/2019 21:13:13,1571875991.01,,2425,,1,-16.7151208539,-49.2690283433,|Avenida T-5 945, Goias|,-16.6588373,-49.2601561,|Rodoviaria de Goiania - Rua 44 - Setor Central, Goiania - GO|,,GYN
787169,10/23/2019 21:12:43,1571875961.62,,43134,,1,-16.6725902922,-49.2464699596,Localizacao marcada para embarque,-16.7306940327,-49.2844389752,|COOPANEST-GO - Avenida Jose Leandro da Cruz - Parque Amazonia, Goiania - GO|,,GYN
787168,10/23/2019 21:12:10,1571875928.18,,57793,None,1,-16.6719842226,-49.2484286427,|Praca Botafogo - Setor Leste Universitario, Goiania - GO|,-16.6771773453,-49.2727227509,|Rua 10 A, 14, Goiania|,,GYN
787167,10/23/2019 21:11:37,1571875895.17,,54452,,1,-16.7190389927,-49.2618849501,|Rua S-3 692, Goias|,-16.7016546486,-49.2529937625,|Rua 90 1172, Goias|,,GYN
787165,10/23/2019 21:11:32,1571875890.29,,9499,,2,-16.6600760262,-49.2463361844,|Avenida Independencia 2807, Goias|,-16.6969862923,-49.2819850892,|Avenida C-197 165, Goias|,,GYN
787164,10/23/2019 21:11:24,1571875882.77,,51454,,1,-16.7187946332,-49.258390367,|Alameda Couto Magalhaes, 0084000, Goiania|,-16.6712561014,-49.2464126274,|Jabulani Distribuidora De Bebidas - Avenida Anhanguera - Setor Leste Vila Nova, Goiania - GO|,,GYN
787163,10/23/2019 21:11:17,1571875875.84,,9499,,1,-16.6600760262,-49.2463361844,|Avenida Independencia 2807, Goias|,-16.6969862923,-49.2819850892,|Avenida C-197 165, Goias|,,GYN
787162,10/23/2019 21:11:18,1571875875.1,,55231,None,1,-16.7064927656,-49.273073785,|Avenida T-3 2442, Goias|,-16.7151224,-49.279547,|Rua C. 155 - Jardim America, Goiania - GO|,,GYN
787161,10/23/2019 21:10:59,1571875856.95,,14217,,1,-16.6663865793,-49.2549259588,|Rua 75 57, Goias|,-16.6760718633,-49.2353317514,|Rua 257 159, Goias|,,GYN
787158,10/23/2019 21:10:39,1571875836.89,,57741,None,1,-16.6974191886,-49.2556018755,|Avenida 136, 761, Goiania|,-16.6996684354,-49.2791546881,|Avenida C-197, 31, Goiania|,,GYN
787157,10/23/2019 21:10:29,1571875827.64,,57794,None,1,-16.7173865896,-49.2912594974,|Avenida T 63, 0350000, Goiania|,-16.7076378907,-49.2703040689,|Avenida T-010, 15, Goiania|,,GYN
787156,10/23/2019 21:10:19,1571875818.66,,57793,None,1,-16.6719842226,-49.2484286427,|Praca Botafogo - Setor Leste Universitario, Goiania - GO|,-16.677765734,-49.2724773288,|Rua 10-A - Setor Aeroporto, Goiania - GO|,,GYN
787155,10/23/2019 21:09:53,1571875791.64,,11527,,1,-16.6784816259,-49.2673288286,|Avenida Republica do Libano, Goiania|,-16.6728530182,-49.2342410982,|Rua Duzentos e Sessenta e Dois, 000C000, Goiania|,,GYN
787154,10/23/2019 21:09:29,1571875767.62,,11527,,1,-16.6786100943,-49.2669264972,|Avenida B, 00D1000, Goiania|,-16.6728530182,-49.2342410982,|Rua Duzentos e Sessenta e Dois, 000C000, Goiania|,,GYN
787153,10/23/2019 21:09:28,1571875766.46,,40089,,1,-16.6970575854,-49.2554235086,|Avenida 136 797, Goias|,-16.7233627,-49.2868126,|Oficina de Estetica - Avenida C-2 - Jardim America, Goiania - GO|,,GYN
787152,10/23/2019 21:09:13,1571875752.56,,4488,,1,-16.723539198,-49.2356009781,|Avenida Nicolau Copernico - s/n Qd 8 lt 11, GO, Brasil|,-16.6869873341,-49.2836960033,|Rua T-282, Goiania|,,GYN
787151,10/23/2019 21:09:09,1571875747.42,,53752,,1,-16.7145396447,-49.2748192325,|Avenida C 255 Q 587 0, Goias|,-16.6827316368,-49.2566191033,|Rua 82 421, Goias|,,GYN
787150,10/23/2019 21:09:07,1571875745.82,,46002,,1,-16.6782272581,-49.2590290681,|Avenida Tocantins 219, Goias|,-16.7174931967,-49.2610484362,|Rua T-65 269, Goias|,,GYN
787149,10/23/2019 21:08:59,1571875737.16,,30329,,1,-16.7080893879,-49.2729879543,|Avenida T-15 357, Goias|,-16.6676999267,-49.2582854256,|Rua 68 - Setor Central, Goiania - GO|,,GYN
787148,10/23/2019 21:08:20,1571875698.95,,11527,,1,-16.6786100943,-49.2669264972,|Avenida B, 00D1000, Goiania|,-16.6728530182,-49.2342410982,|Rua Duzentos e Sessenta e Dois, 000C000, Goiania|,,GYN
787147,10/23/2019 21:08:18,1571875697.19,,57793,None,1,-16.6772332294,-49.2727334797,|Rua 10 A, 14, Goiania|,-16.7051922085,-49.234517701,|Rua 71, 0J15000, Goiania|,,GYN
787146,10/23/2019 21:08:16,1571875694.68,,46002,,1,-16.6782272581,-49.2590290681,|Avenida Tocantins 219, Goias|,-16.7174931967,-49.2610484362,|Rua T-65 269, Goias|,,GYN
787145,10/23/2019 21:07:57,1571875675.78,,11527,,1,-16.6786100943,-49.2669264972,|Avenida B, 00D1000, Goiania|,-16.6728530182,-49.2342410982,|Rua Duzentos e Sessenta e Dois, 000C000, Goiania|,,GYN
787144,10/23/2019 21:07:48,1571875666.31,,33,None,1,-16.691359,-49.264922,,-16.70058,-49.275962,,,GYN
787143,10/23/2019 21:06:12,1571875570.25,,37359,,1,-16.6684987228,-49.2679071799,|R 17A, 060A000, Goiania|,-16.7191032133,-49.2425730452,|Avenida Gonzaga Leite, 0078000, Goiania|,,GYN
787140,10/23/2019 21:04:58,1571875496.61,,56673,,1,-16.683808818,-49.2521582544,|Rua 83-B 80, Goias|,-16.7150058966,-49.2383881286,|Avenida Sao Joao 288, Goias|,,GYN
787139,10/23/2019 21:04:54,1571875492.5,,57793,None,1,-16.6764463533,-49.2732819915,|Avenida Doutor Ismerino Soares de Carvalho, 014A000, Goiania|,-16.703451375,-49.2318945006,|Rua 69, 0C27000, Goiania|,,GYN
787138,10/23/2019 21:04:16,1571875454.48,,27743,None,1,-16.6748581383,-49.2473782226,|Rua 229 Q 56 109, Goias|,-16.7112247916,-49.259810932,|Rua S-6 111, Goias|,,GYN
787137,10/23/2019 21:03:30,1571875408.53,,33568,,1,-16.6971882893,-49.2793806642,|Rua T-049, 22, Goiania|,-16.661264149,-49.2513784021,|Rua 200 - C, 000A000, Goiania|,,GYN
787136,10/23/2019 21:03:13,1571875390.4,,55586,,2,-16.7200928498,-49.2792733759,|Avenida C-171, 1, Goiania|,-16.6892842344,-49.2560615391,|Condominio Viella's - Rua 104-E - Setor Sul, Goiania - GO|,,GYN
787135,10/23/2019 21:02:33,1571875351.46,,15130,,1,-16.717124246,-49.2414230481,|Alameda Emilio Povoa 151, Goias|,-16.7469664845,-49.2859959975,|Avenida Rio Verde 2580, Goias|,,GYN
787134,10/23/2019 21:02:21,1571875339.56,,49063,,1,-16.6789865063,-49.2700231075,|Avenida A Q G0, 555, Goiania|,-16.7174687927,-49.2671454325,|Mania do Pedaco - Rua T-65 - Setor Bueno, Goiania - GO|,,GYN
787133,10/23/2019 21:02:00,1571875318.46,,57786,None,1,-16.7207421154,-49.2671186104,|Avenida T-14 250, Goias|,-16.6762346991,-49.2451318726,|1a Avenida 2662, Goias|,,GYN
787132,10/23/2019 21:01:57,1571875315.95,,55672,,4,-16.7209559679,-49.2419638485,|Avenida Gonzaga Jaime 201, Goias|,-16.6758296971,-49.2608295009,|BR-060 5363, Goias|,,GYN
787131,10/23/2019 21:01:53,1571875311.44,,33,None,1,-16.691359,-49.264922,,-16.70058,-49.275962,,,GYN
787130,10/23/2019 21:01:51,1571875309.13,,10035,,1,-16.7044019151,-49.2451868579,|Rua Mil e Onze, 9, Goiania|,-16.6784234939,-49.2756674811,|Alameda das Rosas, 0R28000, Goiania|,,GYN
787129,10/23/2019 21:01:46,1571875304.24,,15130,,1,-16.717124246,-49.2414230481,|Alameda Emilio Povoa 151, Goias|,-16.7469664845,-49.2859959975,|Avenida Rio Verde 2580, Goias|,,GYN
787127,10/23/2019 21:01:37,1571875294.68,,57786,None,1,-16.7207421154,-49.2671186104,|Avenida T-14 250, Goias|,-16.6536033738,-49.2620643228,|Rua Snf 8 Q 6 42, Goias|,,GYN
787126,10/23/2019 21:01:15,1571875274.29,,57383,None,1,-16.7018900384,-49.2684037238,|Praca T-23 61, Goias|,-16.6696167748,-49.2486764118,|Rua 201 164, Goias|,,GYN
787125,10/23/2019 21:01:08,1571875266.62,,33568,,1,-16.6971882893,-49.2793806642,|Rua T-049, 22, Goiania|,-16.6599045042,-49.2469272763,|Avenida Quinta Avenida, 000E000, Goiania|,,GYN
787124,10/23/2019 21:00:50,1571875249.09,,57792,None,14,-16.7191767459,-49.2384508252,|Rodovia Transbrasiliana 213, Goias|,-16.6820135127,-49.2371569946,|Rua 252 Q 33 139, Goias|,,GYN
787123,10/23/2019 21:00:49,1571875247.83,,57567,,1,-16.7414840545,-49.2757854983,|Avenida Rio Verde, Goiania|,-16.6976080185,-49.2598199844,|Madalena Gastrobar - Setor Marista, Goiania - GO|,,GYN
787122,10/23/2019 21:00:10,1571875209.12,,1322,,1,-16.6913290048,-49.2822533101,|Avenida T 2, 1993, Goiania|,-16.7134006621,-49.2377822846,|Rua Fortaleza, 0007000, Goiania|,,GYN
787121,10/23/2019 21:00:04,1571875202.04,,57792,None,4,-16.7191767459,-49.2384508252,|Rodovia Transbrasiliana 213, Goias|,-16.6716653,-49.236005,|Terminal Praca Da Biblia - Avenida Anhanguera - Setor Leste Universitario, Goiania - GO|,,GYN
787120,10/23/2019 20:59:03,1571875139.72,,341,,1,-16.6771529361,-49.2728045583,|Residencial Ilha Da Madeira - Rua 10-A - Setor Aeroporto, Goiania - GO|,-16.6988042576,-49.2312159017,|BR-153 055, Goias|,,GYN
787118,10/23/2019 20:57:35,1571875053.26,,14217,,1,-16.6663631323,-49.2550221831,|Rua 75 57, Goias|,-16.6759504591,-49.2352123931,|Rua 257 133, Goias|,,GYN
787117,10/23/2019 20:57:11,1571875028.69,,44723,,1,-16.7213120672,-49.2912605032,|Rua C-161 1384, Goias|,-16.6718513,-49.2525043,|Informac - Rua 24 - Setor Central, Goiania - State of Goias|,,GYN
787116,10/23/2019 20:55:49,1571874946.92,,33,None,1,-16.691359,-49.264922,,-16.70058,-49.275962,,,GYN
787114,10/23/2019 20:54:59,1571874898.21,,57097,None,1,-16.7413967247,-49.2762864009,|Avenida Rio Verde 1, Goias|,-16.713516,-49.274167,|Della Panificadora - Praca Wilson Sales - Setor Nova Suica, Goiania - GO|,,GYN
787111,10/23/2019 20:54:25,1571874863.77,,52087,,1,-16.7087011232,-49.2357072607,|Flamboyant Shopping, Alameda das Paineiras, Goiania|,-16.6747046155,-49.2457028478,|Avenida Primeira Avenida, 0056000, Goiania|,,GYN
